Email,Sender,DKIM,URL,Label
"F7-1, Our exclusive 11.11 celebration starts today! ",1,1,1,0
"F7-2, Introducing: Binance Web3 Wallet",1,1,1,0
"F7-3, =?UTF-8?B?8J+OgSBQcmltb2dlbXMgaGF2ZSBiZWVuIHNlbnQgdG8geW91ciBtYWlsYm94LiBQbGVhc2Ug?=
  =?UTF-8?B?Y2xhaW0gdGhlbSBpbiB0aW1lfiB8IEdlbnNoaW4gSW1wYWN0?=",1,1,1,0
"F7-4, =?utf-8?Q?=E2=8F=B3Black=20Friday=20Countdown=3A=20LetsDefend?=",1,1,1,0
"F7-5, =?UTF-8?B?SW5zaWRlOiBPdXIgYmVzdCBCbGFjayBGcmlkYXkgc2VsbGluZyB0?=
 =?UTF-8?B?aXBzIPCfkrg=?=",1,1,1,0
"F7-6, Discover your next favorite book",1,1,1,0
"F7-7, Join the One Piece Film Gold Advance Screening!",1,1,1,0
"F7-8, You can get the resources you want without upgrading",1,1,1,0
"F7-9, Apply to top growing companies at the Online Career Fair",1,1,1,0
"F7-10, Escape the everyday with Passenger",1,1,1,0
"F7-11, Just A Few Easy Steps to Score Your Dream Overseas Job",1,1,1,0
"F7-12, LAST CHANCE: Get 40% Off Any Individual Plan",1,1,1,0
"F7-13, Let's get started!",1,1,1,0
"F7-14, Your PwC AC Manila Journey Starts Here!",1,1,1,0
"F7-15, Curiousity or curiosity, which one is it?",1,1,1,0
"F7-16, 2 Days Only: Get 50% Off Academia Premium!",1,1,1,0
"F7-17, Get Meloetta in December! Find Out How!",1,1,1,0
"F7-18, [GlassWire Official Forum] Summary",1,1,1,0
"F7-19, IMDb Tips: Building your Watchlist",1,1,1,0
"F7-20, This Weekend: Get Lifetime Service for Your PC",1,1,1,0
"F7-21, =?UTF-8?Q?Doing=20things=20the=20easy=20way?=",1,1,1,0
"F7-22, Get inspired with these 18 trending ideas",1,1,1,0
"F7-23, =?UTF-8?Q?Creating=20stellar=20visuals=20just=20got=20a=20lot=20easier=2E=20?=",1,1,1,0
"F7-24, 71% discount - The digital cutter for your images",1,1,1,0
