ID,Email,Actual Label,Predicted Label,Evaluation
1,F8 - 55. Collect Stars Any Way You Pay,0,0,TN
2,"F9 -95, phishing0 - 191.eml",0,0,TN
3,F5 - Funny Story to Share,0,0,TN
4,F6 - phishing2 - 1006.eml,1,1,TP
5,"F9 -42, phishing0 - 138.eml",1,1,TP
6,F5 - 1266. Order Confirmation Alert,1,1,TP
7,F12 - 97 - Last call to join us for the free webinar 13 Pro Git Tips for JetBrains IDEs – boost your coding prowess with JetBrains IDEs!,1,1,TP
8,F5 - 1130. =?UTF-8?Q?=E2=9A=A0=EF=B8=8F_Urgent:_Verify_Your_Account_Now?=,1,0,FN
9,F8 - 38. Welcome to VYBE!,0,0,TN
10,"F10-80, PUP Client Satisfaction Survey.eml",0,0,TN
11,F6 - phishing2 - 1124.eml,1,1,TP
12,"F10-37, Erica Joy Cavaneyro _ QA Intern.eml",0,0,TN
13,F12 - 68 - New announcement_ _Synchronous Class # 1 - 11-11-2023…_,0,0,TN
14,"F10-5, [ONGOING] Sea the Future Ahead_ The Dive to Uncovering the Reality of CCIS Careers.eml",0,0,TN
15,"F9 -22, phishing0 - 118.eml",1,1,TP
16,"F7-71, S'well",0,0,TN
17,F12 - 26 - Vouchers = savings. 💰,0,0,TN
18,F8 - 70. Get 30% OFF on your next GrabCar ride! Use code RIDEAGAIN,0,0,TN
19,F6 - phishing2 - 1072.eml,1,1,TP
20,F5 - For Presentation,0,0,TN
21,F5 - 1222. USDT Withdrawal Request Received,1,1,TP
22,F6 - phishing2 - 1068.eml,1,1,TP
23,F12 - 100 -Connect data now to get the most out of Looker Studio,1,1,TP
24,F12 - 89 - Security alert,0,0,TN
25,F6 - phishing2 - 1090.eml,1,1,TP
26,"F7-60, You're my everything and more, my most stylish companion!",0,0,TN
27,"F5-1485, =?UTF-8?B?Q2FzZSBOwrA=?=01237: Your Assets Are Now Available",1,1,TP
28,F2 - Emoji Overload Alert,0,0,TN
29,F12 - 12 - Your trial has ended,0,0,TN
30,F6 - phishing2 - 1038.eml,1,1,TP
31,"F5 - 1365. In re FTX Trading Ltd. =?UTF-8?B?4oCT?= Customer Claims Bar Date
 Reminder",0,0,TN
